,,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Калужская область,,,-0.5,-1.8,-3.9,-7.9,-9.3,-8.6,-8.2,-8.2,-8.3,-10.5,-10.7,-10.3,-10.4,-10.2,-9.5,-10.3,-8.4,-7.3,-6.9,-6.2,-5.5,-4.5,-4.1,-3.5,-3.5,-2.4,-2.9,-4.0
Камчатский край,,,6.2,5.2,2.8,-1.3,-2.0,-2.0,-1.3,-0.4,0.2,-1.1,-1.7,-2.3,-0.7,-1.4,-1.1,-1.6,-0.3,0.1,0.3,0.1,-0.6,0.4,1.5,1.6,1.7,1.6,1.4,0.9
Карачаево-Черкесия,,,8.8,8.0,6.8,2.9,2.7,2.6,1.3,0.8,1.0,-0.4,-0.7,-0.3,-0.7,-0.8,0.3,0.1,0.3,3.4,3.8,3.5,2.9,3.3,3.9,4.4,3.8,2.7,2.4,1.8
Карелия,,,3.1,0.9,-2.4,-6.1,-8.4,-7.9,-6.2,-5.4,-5.3,-7.5,-7.8,-8.0,-8.6,-9.7,-8.1,-8.2,-6.8,-5.3,-5.1,-4.0,-4.1,-2.8,-2.8,-2.7,-2.3,-3.1,-2.8,-4.3
Кемеровская область,,,1.6,0.2,-2.8,-6.6,-8.1,-7.8,-7.7,-6.9,-5.7,-7.4,-7.7,-7.4,-7.6,-7.8,-7.2,-7.9,-6.0,-4.5,-3.3,-2.6,-3.0,-2.8,-1.4,-0.9,-1.4,-2.0,-2.2,-3.6
Кировская область,,,0.9,-1.0,-2.9,-6.3,-8.0,-8.3,-7.6,-7.3,-6.4,-8.2,-8.7,-8.7,-10.0,-10.4,-9.2,-9.7,-8.0,-6.2,-5.8,-5.2,-5.0,-3.9,-2.8,-2.4,-2.3,-2.5,-2.3,-3.8
Костромская область,,,-0.8,-2.6,-5.2,-7.9,-9.7,-9.2,-9.0,-8.8,-8.8,-10.4,-10.8,-11.2,-11.7,-12.2,-11.2,-11.3,-8.9,-7.1,-6.7,-5.4,-5.6,-4.3,-3.2,-3.4,-3.2,-3.5,-3.6,-4.2
Краснодарский край,,,-0.1,-1.2,-2.4,-5.5,-5.4,-5.3,-5.3,-5.6,-5.2,-6.2,-6.3,-5.7,-5.8,-5.4,-4.5,-5.3,-4.4,-3.1,-2.0,-1.3,-1.3,-1.3,-0.2,0.3,0.6,0.5,0.3,-0.5
Красноярский край,,,4.5,3.1,0.4,-3.3,-4.6,-4.2,-3.8,-3.7,-3.7,-5.1,-5.5,-4.6,-4.6,-4.7,-3.9,-4.9,-2.9,-1.5,-0.7,0.2,0.1,0.5,1.5,1.7,1.7,1.7,1.4,0.1
Крым,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4,-2.7,-3.2,-3.5
Курганская область,,,3.1,1.4,-0.6,-4.8,-5.3,-5.7,-5.5,-5.6,-4.8,-6.0,-6.7,-6.8,-7.3,-7.7,-7.0,-7.2,-5.8,-4.3,-3.8,-3.1,-3.1,-2.9,-2.1,-2.1,-2.3,-2.7,-3.5,-4.1
Курская область,,,-2.0,-4.2,-5.2,-7.6,-8.9,-8.3,-8.7,-8.8,-8.6,-10.2,-10.4,-10.3,-10.8,-10.9,-10.4,-11.1,-10.1,-7.9,-7.6,-6.8,-6.5,-5.3,-4.6,-4.5,-4.9,-4.7,-5.0,-5.9
Ленинградская область,,,-1.5,-2.8,-5.6,-10.7,-12.0,-10.9,-9.3,-8.3,-8.6,-11.2,-12.1,-12.7,-12.6,-13.1,-12.0,-12.5,-11.4,-9.9,-9.2,-7.8,-7.0,-6.1,-5.7,-5.6,-5.4,-5.0,-4.8,-5.0
